Study,Study_ID.x,Publication_Year,Type_of_publication,Study_design,Country,Geographical_Context,decade,teacher_type,teacher_count,other_teachers,male,female,gender_NR,White,Black,hispanic,API,american_indian,asian,european,multiracial,race_NR,teacher_age,teaching_years,Teacher_Language_Sample_Teacher_Notes,class_type,total_students,HID_students,avg_group,Were_there_additional_students_in_the_study_sample_outside_of_those_in_the_teacher_language_sample?,primary_HID,HID,disability_status,grade,content,1_Language_Label,1_Study_Definition,1_rate_or_%_of_language_(avg),2_Language_Label,2_Study_Definition,2_rate_or_%_of_language_(avg),3_Language_Label,3_Study_Definition,3_rate_or_%_of_language_(avg),4_Language_Label,4_Study_Definition,4_rate_or_%_of_language_(avg),5_Language_Label,5_Study_Definition,5_rate_or_%_of_language_(avg),6_Language_Label,6_Study_Definition,6_rate_or_%_of_language_(avg),7_Language_Label,7_Study_Definition,7_rate_or_%_of_language_(avg),8_Language_Label,8_Study_Definition,8_rate_or_%_of_language_(avg),9_Language_Label,9_Study_Definition,9_rate_or_%_of_language_(avg),10_Language_Label,10_Study_Definition,10_rate_or_%_of_language_(avg),language_type,language_whom,session_number,session_duration,observation_span,coding_method,sampling_1,sampling_2,coding_system,system_name,Baseline,Receiver,What_was_the_focus_of_the_intervention?,Student_Outcomes,Outcome_Measured,Teacher_Demo,Observational_Measurement,Coder_Training,Teacher_Language,Reliability_Reporting,Reliability_Levels,total_quality,methods_quality
881,Nowacek 1990,1990,Published study,Correlational,1 United States,5 Not reported,1990,2 special education teacher,97,1 yes,0,0,100,0,0,0,0,0,0,0,0,100,,,,Not reported,,,,Yes,Learning disability,Learning disability,2 Formally identified- IEP or diagnosis,1 Elementary (K-5); 2 Middle (6-8); 3 High (9-12),Not reported,,,22,,teacher introduces lesson/activity -- begins instruction,6.0 freq,teacher gives answer (teacher initiated),"teacher introduces
lesson/activity—begins
instruction",3.3 freq,teacher gives answer (learner initiated),teacher gives answer to a learner-initiated verbal interaction,4.8 freq,teacher follow-up - redirect,teacher re-enters/redirects as follow-up,10.3 freq,teacher follow- probe,teacher probes as a follow-up response after verbal interaction,6.8 freq,re-enter/redirect,"Teacher renters/redirects when a learner does not
answer (TQR).",6.2 freq,give answer,teacher gives answer when a learner does not answer,0.9 freq,,,,,,,Dialogic teaching; Explicit instruction; Academic feedback ; Questioning; Instructional,1 whole group ; 3 individual students (not pre-determined),3,35,10 days,1 Live observation and coding,2 Intermittent,3 Interval,3 adapted from existing coding system,"Teacher Behavior Scale and Teacher Interaction Scale that were factors created from Classroom Performance Record(CPR; McNergney, Medley, & Caldwell, 1988)",2 No,3 NA,,1 yes,1 engagement/on-task behavior,0,1,1,1,0,0,3,3
883,Algozzine 1987,1987,Published study,Descriptive,1 United States,5 Not reported,1980,2 special education teacher,40,2 no,0,0,100,0,0,0,0,0,0,0,0,100,,,,Special education,360,360,9,No,No primary,Learning disability; Intellectual developmental disability; Emotional-behavioral disorder,2 Formally identified- IEP or diagnosis,Not reported,ELA; Reading; Math,,,4,,,13.08% (average of percentages),status questions,,21.1% (average of percentages),rote recall questions,,30.54% (average of percentages),higher level questions,,28.30% (average of percentages),,,,,,,,,,,,,,,,Questioning,1 whole group,12,5,2 days,1 Live observation and coding,1 Continuous,1 Event Sampling (Frequency),2 existing coding system (e.g. Brophy-Good Dyadic Interaction),Classroom Observation Keyed for Effectiveness Research (COKER),2 No,3 NA,,2 no,8 NA,0,1,2,0,0,0,3,3
895,Smith 1980,1980,Published study,Correlational,1 United States,5 Not reported,1980,2 special education teacher,7,2 no,0,0,100,0,0,0,0,0,0,0,0,100,,,,Alternative/Specialized,38,38,6,No,Reading disability,Reading disability,2 Formally identified- IEP or diagnosis,Not reported,ELA,,,,,"through answering pupil questions or statements by clarifying, building, or developing ideas",Not reported,content/cognitive questions,question about content - cognitive memory question or convergent question,Not reported,divergent/evaluative questions,divergent or evaluative question,Not reported,lecturing,"giving facts or opinions about content or procedures, expressing own ideas, giving his own explanation, or citing an authority other than a pupil",Not reported,task orientation,"clarity of presentation, goal orientation, asks questions orienting pupil to schoolwork, provides immediate feedback through Questioning",Not reported,criticizing or justifying authority,statements intended to change pupil behavior from non-acceptable to acceptable pattern: bawling someone out; stating why the teacher is doing what he is doing; extreme self-reference,Not reported,,,,,,,,,,Questioning; Instructional; Logistical; SEL,1 whole group ; 3 individual students (not pre-determined),,40,2 weeks,1 Live observation and coding,1 Continuous,3 Interval,3 adapted from existing coding system,"Flanders Interaction Analysis Category System(Flanders, 1965; Amidon, 1966)",2 No,3 NA,,1 yes,4 reading,0,1,0,1,0,0,2,2
933,Griffin 2013,2013,Published study,Descriptive,1 United States,3 Rural,2010,1 general education teacher,2,2 no,0,100,0,100,0,0,0,0,0,0,0,0,,1,,Inclusion,50,6,25,No,No primary,Learning disability; Developmental language disorder,"1 Not formally identified e.g. ""at-risk"" or ""struggling""; 2 Formally identified- IEP or diagnosis",1 Elementary (K-5),Math,,,9,,"responds with quick check, and then moves to next segment of the lesson; makes a concerted effort to assess student understanding and provide follow-up instruction",28.83%,student-to-student interaction,teacher provides opportunities during the lesson for student-to-student communication,16.08%,,,,,,,,,,,,,,,,,,,,,,Vocabulary; Dialogic teaching; Explicit instruction; SEL,1 whole group ; 3 individual students (not pre-determined),6,41,4 months,2 Coding from video recording,1 Continuous,2 Timed Event Sampling (Duration),3 adapted from existing coding system,Walshaw and Anthony(2008),2 No,3 NA,,1 yes,5 math; 7 other academic,2,2,1,2,2,1,10,8
941,Peets 2009,2009,Published study,Correlational,3 Canada,1 Urban,2000,2 special education teacher; 3 paraprofessional/paraeducator/aide,6,2 no,0,0,100,0,0,0,0,0,0,0,0,100,,,,Special education,12,12,4,No,Developmental language disorder,Developmental language disorder,2 Formally identified- IEP or diagnosis,1 Elementary (K-5),Writing; Other,,,,,"involves the use of the imperative form, in which a turn directs another's actions, but it need not involve the imperative",Not reported,elicitation,"demands either a verbal or non-verbal response, typically by asking 
a question, as in the second question of the two-turn sequence example in 
initiations",Not reported,modeling,"Modeling of an appropriate response occurs when the teacher is not getting the desired response from students, or is teaching students how to get a target response. It is typically an explicit lesson in what constitutes an acceptable response",Not reported,"feedback, correction",alters or changes response,Not reported,"feedback, acknowledgement and praise",a contribution that does not involve adding new content but acknowledges a response or initiation,Not reported,behavioral-related,"talk that is oriented towards management of problem behaviors, but is not related to class management issues",Not reported,attention getters,"including calling a child by name, or using an turn that has no lesson or conversational content for the purpose of getting attention",Not reported,general,"General, ""catch-all"" category for those turns that do not fall into the other categories. Primarily these have been exclamations, or they could be singing, or even filled pauses that are not clearly interactional,",Not reported,recasts,"This is a self-monitoring device at the level of the turn (i.e., not
internal to a turn), in which the speaker rewords his/her turn, 
presumably to make it more intelligible. I",1.80%,Dialogic teaching; Explicit instruction; Academic feedback ; Behavioral feedback ; Questioning; Teacher talk,2 target students (pre-determined),,,Not reported,4 Coded from human transcription of audio/video,1 Continuous,1 Event Sampling (Frequency),3 adapted from existing coding system,Peets (2002),2 No,3 NA,,1 yes,6 oral language,0,2,2,0,2,0,6,6
1012,Green 2020,2020,Published study,Descriptive,1 United States,1 Urban,2020,1 general education teacher,23,2 no,4,95,0,95,4,0,0,0,0,0,0,0,,9,,General education; Inclusion,551,65,23,No,Emotional-behavioral disorder,Emotional-behavioral disorder,"1 Not formally identified e.g. ""at-risk"" or ""struggling""",1 Elementary (K-5),ELA; Reading,,,34,,"positive statement, given by the teacher, immediately after a desired behavior occurs to inform students specifically what they 
did correctly",.23/min,precorrections,"a statement that prompts 
a student to exhibit a desired behavior before a predictable 
undesired behavior occurs",.10/min,,,,,,,,,,,,,,,,,,,,,,Behavioral feedback ; Questioning,1 whole group ; 2 target students (pre-determined); 3 individual students (not pre-determined),8,30,Not reported,1 Live observation and coding,1 Continuous,1 Event Sampling (Frequency),1 researcher developed coding system,,2 No,3 NA,,2 no,8 NA,2,2,2,2,2,0,10,8
1023,Wills 2016,2016,Published study,Randomized controlled trial,1 United States,5 Not reported,2010,1 general education teacher,159,2 no,6,93,0,0,0,0,0,0,0,0,0,100,,,,General education,,313,,No,Emotional-behavioral disorder,Learning disability; Intellectual developmental disability; Developmental language disorder; Emotional-behavioral disorder; Other Health Impairment,"1 Not formally identified e.g. ""at-risk"" or ""struggling""; 2 Formally identified- IEP or diagnosis",1 Elementary (K-5); 2 Middle (6-8),Other,,,0,,any verbal comment made to the target student or groups of students indicating approval to groups,0.70 avg freq,teacher reprimand individual,included verbal comments made to the target student,1.74 avg freq,teacher reprimand group,included verbal comments made to groups of students.,1.87 avg freq,,,,,,,,,,,,,,,,,,,Behavioral feedback,1 whole group ; 2 target students (pre-determined),,,3 weeks,1 Live observation and coding,1 Continuous,1 Event Sampling (Frequency),1 researcher developed coding system,,1 Yes,1 teachers; 2 students,CW-FIT,1 yes,1 engagement/on-task behavior; 2 challenging/disruptive behavior,0,1,2,2,2,1,8,8
1030,Wills 2014,2014,Published study,Single-case design- MBL,1 United States,1 Urban,2010,1 general education teacher,1,2 no,0,100,0,0,0,0,0,0,0,0,0,100,,15,,General education,,3,,No,Emotional-behavioral disorder,Learning disability; Emotional-behavioral disorder; Autism spectrum disorder,"1 Not formally identified e.g. ""at-risk"" or ""struggling""; 2 Formally identified- IEP or diagnosis",1 Elementary (K-5),Writing; Math; Science; Social Studies,,,37,,"verbal comments the teacher used to scold 
student(s) or negatively comment about a student’s behavior often with the intent to stop the student from misbehaving including statements of negative consequences or threats of such consequences",.22/min,,,,,,,,,,,,,,,,,,,,,,,,,Academic feedback ; Behavioral feedback,1 whole group ; 3 individual students (not pre-determined),17,20,Not reported,1 Live observation and coding,1 Continuous,1 Event Sampling (Frequency),1 researcher developed coding system,,1 Yes,1 teachers; 2 students,CW-FIT,1 yes,1 engagement/on-task behavior; 2 challenging/disruptive behavior,0,2,1,2,2,1,8,8
1069,Kerbel 1997,1997,Published study,Descriptive,2 UK,5 Not reported,1990,2 special education teacher,6,1 yes,0,0,100,0,0,0,0,0,0,0,0,100,,,,General education; Alternative/Specialized,,,,Yes,Developmental language disorder,Developmental language disorder,2 Formally identified- IEP or diagnosis,1 Elementary (K-5),ELA; Other,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vocabulary,1 whole group ; 3 individual students (not pre-determined),1,100,1 day,3 Coding from audio recording,1 Continuous,1 Event Sampling (Frequency),1 researcher developed coding system,,2 No,3 NA,,2 no,8 NA,0,2,0,2,0,0,4,4
1075,Dunson 1994,1994,Published study,Randomized controlled trial,1 United States,5 Not reported,1990,1 general education teacher,20,2 no,0,100,0,85,5,10,0,0,0,0,0,0,38,11,,General education,,20,,No,Attention deficit hyperactivity disorder,Learning disability; Emotional-behavioral disorder; Attention deficit hyperactivity disorder,"1 Not formally identified e.g. ""at-risk"" or ""struggling""; 2 Formally identified- IEP or diagnosis",1 Elementary (K-5),Not reported,,,54,,"teacher instructs, explains, describes, answers questions, gives directions, and provides an individual student with information regarding his performance",3.70% (avg of percentages),,,,,,,,,,,,,,,,,,,,,,,,,Behavioral feedback ; Instructional; Logistical,1 whole group ; 2 target students (pre-determined),3,15,Not reported,1 Live observation and coding,1 Continuous,3 Interval,2 existing coding system (e.g. Brophy-Good Dyadic Interaction),"Teacher-Pupil Interaction Scale (TPIS) (Goodwin & Coates, 1977)",1 Yes,1 teachers,behavioral consultation for teachers to support problem behaviors,1 yes,2 challenging/disruptive behavior,2,1,1,0,2,1,7,5
1109,SalleseMaryRose 2022,2022,Published study,Single-case design- MBL,1 United States,3 Rural,2020,3 paraprofessional/paraeducator/aide,2,1 yes,0,100,0,100,0,0,0,0,0,0,0,0,,5,,Inclusion; Resource room,8,6,4,Yes,No primary,Learning disability; Intellectual developmental disability; Autism spectrum disorder; Other Health Impairment,2 Formally identified- IEP or diagnosis,1 Elementary (K-5),Reading,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,Academic feedback ; Behavioral feedback,1 whole group ; 3 individual students (not pre-determined),8,10,Not reported,3 Coding from audio recording,1 Continuous,1 Event Sampling (Frequency),1 researcher developed coding system,,1 Yes,1 teachers,teacher led intervention for increasing BSP,2 no,8 NA,2,2,1,2,2,2,11,9
1141,Nelson-Walker 2013,2013,Published study,Randomized controlled trial,1 United States,1 Urban; 3 Rural,2010,1 general education teacher,24,1 yes,0,0,100,0,0,0,0,0,0,0,0,100,,,,General education,,,,Yes,Learning disability,Learning disability,"1 Not formally identified e.g. ""at-risk"" or ""struggling""",1 Elementary (K-5),Reading,,,0,,"feedback from the teacher, when delivered 
immediately following a student practice opportunity to 
confirm, extend, clarify, or correct the student response",76%,,,,,,,,,,,,,,,,,,,,,,,,,Explicit instruction; Academic feedback,1 whole group ; 3 individual students (not pre-determined),2,91,winter-spring,1 Live observation and coding,1 Continuous,1 Event Sampling (Frequency),3 adapted from existing coding system,"Classroom Observation of Student–Teacher Interactions (COSTI; Smolkowski & Gunn, 2012)",2 No,1 teachers,"ECRI; focused on science of beginning reading, principles of effective instruction, and lesson maps and instruction templates.",1 yes,1 engagement/on-task behavior; 4 reading,0,2,1,0,2,1,6,6
1208,Sparapani 2022,2022,Published study,Correlational,1 United States,5 Not reported,2020,1 general education teacher; 2 special education teacher; 3 paraprofessional/paraeducator/aide,,2 no,0,0,100,0,0,0,0,0,0,0,0,100,,,,General education; Special education,,194,,No,Autism spectrum disorder,Autism spectrum disorder,2 Formally identified- IEP or diagnosis,1 Elementary (K-5),Not reported,,,3,,"Contextual statements about what students are seeing or experiencing. 
Teachers model words and statements or expands on students’ 
contributions without requesting the student to 
respond. Teachers 
might make comments about objects or events 
within an activity/
environment or talk about his/her experiences",17.42%,close-ended questions,"Questions that are 
structured in a manner to elicit a specific response, often a single 
word or short fixed responses. Close-
ended questions consist of teachers’ use of choice questions, yes/no questions, and simple “wh” questions",32.49%,directives,"Language used to direct or redirect student behavior to comply in a 
specific manner. Teachers’ use of language to demand the student to perform a given action or redirect the student’s behavior",34.44%,indirect requests,"Directives stated in and indirect manner (often 
as a question) but are used to elicit a particular 
response. The teacher indirectly asks students 
to comply in a specific manner",5.19%,fill-ins,"Sudden pauses used with practiced phrases and routines to encourage students to 
communicate the correct 
response. This also includes teachers’ use of 
exaggerated language to indicate that the student 
should take a conversational turn",4.93%,,,,,,,,,,,,,Explicit instruction; Behavioral feedback ; Questioning,1 whole group ; 3 individual students (not pre-determined),,15,Not reported,2 Coding from video recording,1 Continuous,1 Event Sampling (Frequency),1 researcher developed coding system,,1 Yes,1 teachers,evaluating the efficacy of the SCERTS Model as a teacher-mediated intervention for learners with autism; this study was the baseline only part of that larger study though,1 yes,6 oral language; 7 other academic,0,1,1,2,2,0,6,6
1406,Criss 2024,2024,Published study,Single-case design- MBL,1 United States,1 Urban,2020,1 general education teacher; 2 special education teacher,4,2 no,25,75,0,100,0,0,0,0,0,0,0,0,32,5,,Alternative/Specialized,19,19,4,No,Emotional-behavioral disorder,Emotional-behavioral disorder,2 Formally identified- IEP or diagnosis,1 Elementary (K-5); 2 Middle (6-8); 3 High (9-12),ELA; Math; Social Studies,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,Behavioral feedback,1 whole group ; 3 individual students (not pre-determined),9,,Not reported,Other,1 Continuous,1 Event Sampling (Frequency),1 researcher developed coding system,,1 Yes,1 teachers,Training on how to deliver BSP and OTR with or without performance feedback and goal setting,2 no,8 NA,2,2,0,2,2,2,10,8
1438,Labrador-Roca 2020,2020,Published study,Correlational,5 Spain,5 Not reported,2020,1 general education teacher,6,2 no,0,0,100,0,0,0,0,0,0,0,0,100,40,15,,General education,,6,,No,Attention deficit hyperactivity disorder,Attention deficit hyperactivity disorder,2 Formally identified- IEP or diagnosis,1 Elementary (K-5),PE,,,,,Not reported,Not reported,Informative (maintain),Not reported,Not reported,Directive (eliminate),Not reported,Not reported,Interrogative (eliminate),Not reported,Not reported,Informative (eliminate),Not reported,Not reported,,,,,,,,,,,,,Behavioral feedback,2 target students (pre-determined),7,60,academic year,Other,1 Continuous,1 Event Sampling (Frequency),1 researcher developed coding system,,2 No,3 NA,,1 yes,1 engagement/on-task behavior; 2 challenging/disruptive behavior,0,1,0,0,2,0,3,3
1442,Mason 2020,2020,Published study,Correlational,1 United States,1 Urban,2020,3 paraprofessional/paraeducator/aide,21,1 yes,0,0,100,0,0,0,0,0,0,0,0,100,,,report full teacher sample demographics but don't split them out by disability type,General education; Special education,,21,,Yes,No primary,Other,Not reported,1 Elementary (K-5),Reading; Math; Academics,,,2,,"Verbal comments, such as scolding or negative statements about behavior indicating disapproval of the student’s social 
behavior, used with the intent to stop the student from misbehaving",.23/min,,,,,,,,,,,,,,,,,,,,,,,,,Behavioral feedback ; Questioning,1 whole group ; 2 target students (pre-determined),3,20,2 weeks,1 Live observation and coding,1 Continuous,1 Event Sampling (Frequency),1 researcher developed coding system,,2 No,3 NA,,1 yes,1 engagement/on-task behavior,0,2,2,2,2,1,9,9
1445,Wills 2019,2019,Published study,Single-case design- ABAB,1 United States,2 Urban (low-income/SES),2010,1 general education teacher,3,2 no,0,100,0,66,0,33,0,0,0,0,0,0,,,,General education,,6,,No,Emotional-behavioral disorder,Emotional-behavioral disorder,"1 Not formally identified e.g. ""at-risk"" or ""struggling""",2 Middle (6-8),Math; Science,,,10,,"verbally scolding or negatively commenting about behavior, often with the intent to stop misbehavior",.32/min,,,,,,,,,,,,,,,,,,,,,,,,,Academic feedback ; Behavioral feedback,1 whole group ; 3 individual students (not pre-determined),5,10,Not reported,1 Live observation and coding,1 Continuous,1 Event Sampling (Frequency),1 researcher developed coding system,,1 Yes,1 teachers; 2 students,CW-FIT,1 yes,1 engagement/on-task behavior,2,2,2,2,2,1,11,9
1446,Markelz 2019,2019,Published study,Single-case design- MBL,1 United States,1 Urban,2010,2 special education teacher,3,2 no,0,100,0,0,0,0,0,0,0,0,0,100,30,7,,Special education,27,27,9,No,No primary,Intellectual developmental disability; Emotional-behavioral disorder; Autism spectrum disorder,2 Formally identified- IEP or diagnosis,1 Elementary (K-5),Reading; Writing; Math; Science; Social Studies; Other,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,Behavioral feedback,2 target students (pre-determined),8,20,Not reported,Other,1 Continuous,1 Event Sampling (Frequency),1 researcher developed coding system,,1 Yes,1 teachers,eTAPS to increase BSP,1 yes,1 engagement/on-task behavior,0,2,2,2,2,1,9,9
1447,Lastrapes 2018,2018,Published study,Single-case design- MBL,1 United States,4 Suburban,2010,1 general education teacher,5,2 no,0,100,0,100,0,0,0,0,0,0,0,0,39,12,,General education,,15,,No,No primary,Learning disability; Emotional-behavioral disorder; Attention deficit hyperactivity disorder,"1 Not formally identified e.g. ""at-risk"" or ""struggling""; 2 Formally identified- IEP or diagnosis",1 Elementary (K-5),ELA; Math; Science; Social Studies,,,10,,"positive statements that did not mention a specific behavior, such as ""good job""",Not reported,corrective statements,"vocal reprimands that expressed disapproval of a student or class a s whole, ""you're being rude""",Not reported,,,,,,,,,,,,,,,,,,,,,,Behavioral feedback,1 whole group ; 3 individual students (not pre-determined),11,10,Not reported,3 Coding from audio recording,1 Continuous,1 Event Sampling (Frequency),1 researcher developed coding system,,1 Yes,1 teachers; 2 students,Teacher vs Student game,1 yes,1 engagement/on-task behavior,2,2,0,2,2,2,10,8
1450,Cooper 2018,2018,Published study,Single-case design- ABAB,1 United States,3 Rural,2010,1 general education teacher,1,2 no,0,100,0,100,0,0,0,0,0,0,0,0,,5,,General education,25,1,25,No,Emotional-behavioral disorder,Emotional-behavioral disorder; Attention deficit hyperactivity disorder,2 Formally identified- IEP or diagnosis,1 Elementary (K-5),Math,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,Questioning,2 target students (pre-determined),6,15,Not reported,1 Live observation and coding,1 Continuous,1 Event Sampling (Frequency),1 researcher developed coding system,,1 Yes,1 teachers,increasing frequency of OTR,1 yes,1 engagement/on-task behavior,2,2,1,2,2,0,9,7
1451,Kranak 2017,2017,Published study,Single-case design- Other,1 United States,5 Not reported,2010,2 special education teacher,1,2 no,0,100,0,0,0,0,0,0,0,0,0,100,29,1,,Alternative/Specialized,5,5,5,No,Autism spectrum disorder,Autism spectrum disorder,2 Formally identified- IEP or diagnosis,1 Elementary (K-5),Reading; Math,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Behavioral feedback,1 whole group ; 3 individual students (not pre-determined),3,20,Not reported,1 Live observation and coding,1 Continuous,1 Event Sampling (Frequency),1 researcher developed coding system,,1 Yes,2 students,manipulating praise rates to see if that changed on-task behavior,1 yes,1 engagement/on-task behavior,0,2,1,2,2,1,8,8
1463,Duchaine 2011,2011,Published study,Single-case design- MBL,1 United States,4 Suburban,2010,1 general education teacher; 2 special education teacher,3,2 no,33,66,0,33,33,33,0,0,0,0,0,0,,4,,Inclusion,62,16,20,No,No primary,Learning disability; Emotional-behavioral disorder; Other Health Impairment,2 Formally identified- IEP or diagnosis,3 High (9-12),Math,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Behavioral feedback,1 whole group ; 2 target students (pre-determined),8,15,Not reported,1 Live observation and coding,1 Continuous,1 Event Sampling (Frequency),1 researcher developed coding system,,1 Yes,1 teachers,increasing BSPS through written performance feedback,1 yes,1 engagement/on-task behavior,2,1,1,2,2,2,10,8
1516,Orr 2020,2020,Published study,Single-case design- ABAB,1 United States,4 Suburban,2020,2 special education teacher,1,2 no,0,100,0,100,0,0,0,0,0,0,0,0,28,8,,Special education,23,12,20,No,No primary,Learning disability; Intellectual developmental disability; Developmental language disorder; Autism spectrum disorder; Other Health Impairment,2 Formally identified- IEP or diagnosis,2 Middle (6-8); 3 High (9-12),Other,,,33,,punitive statement or suggestion of displeasure in behavior,.31/min,,,,,,,,,,,,,,,,,,,,,,,,,Behavioral feedback,1 whole group ; 3 individual students (not pre-determined),5,20,Not reported,1 Live observation and coding,1 Continuous,1 Event Sampling (Frequency),1 researcher developed coding system,,1 Yes,1 teachers; 2 students,CW-FIT,1 yes,1 engagement/on-task behavior,2,2,2,2,2,1,11,9
1528,Downs 2019,2019,Published study,Correlational,1 United States,5 Not reported,2010,1 general education teacher; 2 special education teacher,65,2 no,3,97,0,86,0,0,0,0,0,0,0,14,,10,,General education; Special education,,130,,No,Emotional-behavioral disorder,Learning disability; Intellectual developmental disability; Developmental language disorder; Emotional-behavioral disorder; Autism spectrum disorder,"1 Not formally identified e.g. ""at-risk"" or ""struggling""; 2 Formally identified- IEP or diagnosis",1 Elementary (K-5),ELA; Reading; Writing; Math; Science; Social Studies; Not reported,,,0,,verbal statements  to individuals or groups indicating disapproval of inappropriate behavior or desire that a specific behavior be stopped,0.07/min (avg of rate),,,,,,,,,,,,,,,,,,,,,,,,,Behavioral feedback,1 whole group ; 2 target students (pre-determined),,14,4-6 months,1 Live observation and coding,1 Continuous,1 Event Sampling (Frequency),1 researcher developed coding system,,2 No,3 NA,,1 yes,1 engagement/on-task behavior,2,1,1,2,2,1,9,7
1530,Owens 2018,2018,Published study,Correlational,1 United States,5 Not reported,2010,1 general education teacher,55,2 no,5,94,0,49,0,47,0,0,0,0,0,3,,14,,General education,,55,,No,Attention deficit hyperactivity disorder,Attention deficit hyperactivity disorder,"1 Not formally identified e.g. ""at-risk"" or ""struggling""; 2 Formally identified- IEP or diagnosis",1 Elementary (K-5),Not reported,,,5,,Not reported,.01min,total effective commands,Not reported,.76/min,total ineffective commands,Not reported,.15/min,,,,,,,,,,,,,,,,,,,Undefined,1 whole group ; 2 target students (pre-determined),4,29,Not reported,1 Live observation and coding,1 Continuous,1 Event Sampling (Frequency),2 existing coding system (e.g. Brophy-Good Dyadic Interaction),"Student Behavior-Teacher Response (SBTR; Pelham, Greiner, & Gnagy, 2008)",2 No,3 NA,,1 yes,2 challenging/disruptive behavior,2,2,1,0,2,0,7,5
1554,Allday 2012,2012,Published study,Single-case design- MBL,1 United States,5 Not reported,2010,1 general education teacher,3,1 yes,0,100,0,100,0,0,0,0,0,0,0,0,,,,General education,59,5,19,Yes,Emotional-behavioral disorder,Emotional-behavioral disorder,"1 Not formally identified e.g. ""at-risk"" or ""struggling""; 2 Formally identified- IEP or diagnosis",1 Elementary (K-5),Not reported,,,27,,Audible statement that conveys general reference to a desirable behavior.,.34/min,Behavior-Specific Correction,Audible statement that conveys explicit reference to an undesirable behavior.,Not reported,Generic Correction,Audible statement that conveys general reference to undesirable behavior.,Not reported,Target Student Praise,Audible statement that uses a target student's name that conveys desirable behavior.,.03/min,Target Student Correction,Audible statement that uses a target student's name that conveys undesirable behavior.,.10/min,Overall Correction,Generic Correction and Behavior-Specific Correction combined,1.00/min,,,,,,,,,,Behavioral feedback,1 whole group ; 2 target students (pre-determined),7,27,Not reported,3 Coding from audio recording,1 Continuous,1 Event Sampling (Frequency),1 researcher developed coding system,,1 Yes,1 teachers,behavior-specific praise,1 yes,1 engagement/on-task behavior,2,2,1,2,2,1,10,8
1617,Monson 2020,2020,Published study,Single-case design- ABAB,1 United States,5 Not reported,2020,1 general education teacher,2,2 no,50,50,0,0,0,0,0,0,0,0,0,100,36,5,,General education,56,2,28,No,Emotional-behavioral disorder,Emotional-behavioral disorder,"1 Not formally identified e.g. ""at-risk"" or ""struggling""",2 Middle (6-8),Other,,,1,,verbal statements in which the teacher told individuals or groups to stop an undesired behavior,0.26/min,,,,,,,,,,,,,,,,,,,,,,,,,Behavioral feedback,1 whole group ; 3 individual students (not pre-determined),5,20,Not reported,1 Live observation and coding,1 Continuous,1 Event Sampling (Frequency),1 researcher developed coding system,,1 Yes,1 teachers; 2 students,CW-FIT,1 yes,1 engagement/on-task behavior,0,2,2,2,2,2,10,10
1732,Lastrapes 2019,2019,Published study,Single-case design- MBL,1 United States,4 Suburban,2010,2 special education teacher,2,2 no,0,100,0,0,0,0,0,0,0,0,0,100,,9,,Resource room,13,4,6,No,Emotional-behavioral disorder,Emotional-behavioral disorder,"1 Not formally identified e.g. ""at-risk"" or ""struggling""; 2 Formally identified- IEP or diagnosis",2 Middle (6-8),Academics,,,0,,praise statements in response to student behavior but without a specific comment as to why the praise was being offered,0.04/min avg of rates,corrective statements,criticism of a certain behavior or verbal expression of disapproval by the teacher to a student(s) or class as a whole,0.16/min avg of rates,,,,,,,,,,,,,,,,,,,,,,Behavioral feedback,1 whole group ; 3 individual students (not pre-determined),22,11,A Semester,1 Live observation and coding,1 Continuous,1 Event Sampling (Frequency),1 researcher developed coding system,,1 Yes,1 teachers; 2 students,Teacher vs. Student game,2 no,8 NA,0,2,0,2,2,2,8,8
1790,Sutherland 2001,2001,Published study,Randomized controlled trial,1 United States,5 Not reported,2000,2 special education teacher,20,2 no,15,85,0,55,45,0,0,0,0,0,0,0,39,12,,Special education,216,216,10,No,Emotional-behavioral disorder,Learning disability; Intellectual developmental disability; Emotional-behavioral disorder,2 Formally identified- IEP or diagnosis,1 Elementary (K-5); 2 Middle (6-8),Academics,,,0,,Verbal comments indicating disapproval of students’ academic or social behavior,0.40/min,academic talk,"Verbal statement by the teacher that pertains to the lesson at hand; may
clarify or explain concept being taught or be examples of concepts being
taught; may also be acknowledgment that is not praise",3.97/min,Other,All other verbal behaviors performed by the teacher,2.27/min,,,,,,,,,,,,,,,,,,,Academic feedback ; Behavioral feedback ; Instructional; Teacher talk,1 whole group ; 3 individual students (not pre-determined),,15,Not reported,1 Live observation and coding,1 Continuous,1 Event Sampling (Frequency),1 researcher developed coding system,,1 Yes,1 teachers,self-evaluation to improve praise rates and decrease reprimands,1 yes,7 other academic,2,2,2,2,2,0,10,8
